Team,Pts,Opp Pts,Avg. Mrg,Pace,Off Eff,Def Eff,Net Rtg,EFg%,Opp EFg%,Ts%,Opp Ts%,Win,Loss,Reb Rate,Eff Pts,Opp Eff Pts,Season,Season Type,Match Count,,,,,,,,,,,,,,
Los Angeles Lakers,105.51,97.77,7.74,93.66,111.8,103.65,8.15,0.519,0.467,0.559,0.514,61,21,50.63,121.98,106.82,1997-1998,REG,82,,,,,,,,,,,,,,
Miami Heat,94.96,90.04,4.93,88.13,107.35,101.72,5.63,0.494,0.452,0.538,0.504,55,27,51.17,108.46,97.02,1997-1998,REG,82,,,,,,,,,,,,,,
Milwaukee Bucks,94.49,96.4,-1.91,90.61,102.98,105.09,-2.12,0.475,0.485,0.527,0.536,36,46,50.08,102.98,106.78,1997-1998,REG,82,,,,,,,,,,,,,,
Minnesota Timberwolves,101.1,100.39,0.71,92.88,107.48,106.77,0.71,0.483,0.48,0.529,0.525,45,37,49.75,116.35,111.68,1997-1998,REG,82,,,,,,,,,,,,,,
New Jersey Nets,99.63,98.06,1.57,91.69,107.57,105.72,1.85,0.463,0.499,0.513,0.545,43,39,50.63,107.71,109.21,1997-1998,REG,82,,,,,,,,,,,,,,
New York Knicks,91.57,89.11,2.46,88.41,102.79,99.99,2.81,0.476,0.455,0.521,0.511,43,39,51.64,103.13,95.1,1997-1998,REG,82,,,,,,,,,,,,,,
Orlando Magic,90.09,91.16,-1.07,87.33,102.37,103.63,-1.26,0.452,0.478,0.499,0.516,41,41,50.18,98.27,103.78,1997-1998,REG,82,,,,,,,,,,,,,,
Philadelphia 76ers,93.31,95.7,-2.39,91.19,101.93,104.63,-2.7,0.462,0.481,0.514,0.528,31,51,49.73,104.09,110.85,1997-1998,REG,82,,,,,,,,,,,,,,
Phoenix Suns,99.59,94.4,5.18,91.37,107.49,101.78,5.72,0.5,0.471,0.54,0.515,56,26,50.36,117.84,102.85,1997-1998,REG,82,,,,,,,,,,,,,,
Portland Trailblazers,94.32,92.92,1.4,90.31,103.65,102.09,1.56,0.476,0.46,0.524,0.507,46,36,52.9,106.43,101.84,1997-1998,REG,82,,,,,,,,,,,,,,
Sacramento Kings,93.13,98.72,-5.59,92.53,100.39,106.39,-5.99,0.464,0.482,0.502,0.526,27,55,47.94,100.92,113.99,1997-1998,REG,82,,,,,,,,,,,,,,
San Antonio Spurs,92.52,88.54,3.99,88.42,103.85,98.86,4.99,0.493,0.437,0.531,0.483,56,26,52.68,108.57,94.62,1997-1998,REG,82,,,,,,,,,,,,,,
Seattle SuperSonics,100.56,93.39,7.17,89.73,111.64,103.78,7.86,0.521,0.478,0.558,0.519,61,21,47.74,115.35,103.98,1997-1998,REG,82,,,,,,,,,,,,,,
Toronto Raptors,94.89,104.16,-9.27,93.16,100.58,110.62,-10.04,0.463,0.508,0.504,0.545,16,66,46.91,104.09,124.68,1997-1998,REG,82,,,,,,,,,,,,,,
Utah Jazz,100.96,94.43,6.54,89.45,112.3,104.86,7.44,0.51,0.471,0.569,0.524,62,20,52.92,119.92,100.5,1997-1998,REG,82,,,,,,,,,,,,,,
Vancouver Grizzlies,96.62,103.93,-7.31,92.61,103.54,111.43,-7.89,0.482,0.507,0.527,0.548,19,63,49.21,106.9,124.71,1997-1998,REG,82,,,,,,,,,,,,,,
Washington Wizards,97.18,96.6,0.59,91.88,105.1,104.28,0.83,0.476,0.482,0.514,0.528,42,40,49.75,108.42,106.84,1997-1998,REG,82,,,,,,,,,,,,,,
Atlanta Hawks,87.5,86,1.5,84,104.17,101.78,2.39,0.495,0.511,0.528,0.532,1,3,53.16,97.5,95.5,1997-1998,POFF,4,,,,,,,,,,,,,,
Charlotte Hornets,82.78,88.78,-6,84,98.55,106.11,-7.56,0.479,0.48,0.509,0.521,4,5,46.7,90.67,103.11,1997-1998,POFF,9,,,,,,,,,,,,,,
Chicago Bulls,93.14,86.14,7,84.59,109.03,101.46,7.57,0.472,0.476,0.523,0.523,15,6,52.47,106.29,92,1997-1998,POFF,21,,,,,,,,,,,,,,
Cleveland Cavaliers,80.75,88.75,-8,82.75,97.58,107.9,-10.32,0.449,0.514,0.524,0.562,1,3,52.27,83.5,104.25,1997-1998,POFF,4,,,,,,,,,,,,,,
Houston Rockets,84.6,91.4,-6.8,88.4,95.7,103.39,-7.69,0.416,0.48,0.478,0.527,2,3,49.19,88.4,107.8,1997-1998,POFF,5,,,,,,,,,,,,,,
Indiana Pacers,91.75,89.5,2.25,85.2,107,103.99,3,0.499,0.467,0.556,0.522,10,6,47.24,99.81,96.94,1997-1998,POFF,16,,,,,,,,,,,,,,
Los Angeles Lakers,100.23,99,1.23,88.15,113.7,112.3,1.4,0.514,0.501,0.553,0.552,7,6,50.44,113.77,113,1997-1998,POFF,13,,,,,,,,,,,,,,
Miami Heat,87.4,89.6,-2.2,86,101.63,103.7,-2.08,0.483,0.465,0.529,0.531,2,3,46.82,89.2,99.8,1997-1998,POFF,5,,,,,,,,,,,,,,
Minnesota Timberwolves,90.2,96,-5.8,86.6,104.16,110.6,-6.44,0.462,0.512,0.508,0.555,2,3,49,100.2,113.8,1997-1998,POFF,5,,,,,,,,,,,,,,
New Jersey Nets,95,102.67,-7.67,86.34,106.34,114.93,-8.58,0.485,0.515,0.531,0.554,0,3,49.79,100.67,115,1997-1998,POFF,3,,,,,,,,,,,,,,
New York Knicks,88.6,90.8,-2.2,86.9,100.91,103.18,-2.27,0.472,0.481,0.523,0.538,4,6,51.56,95.3,95.6,1997-1998,POFF,10,,,,,,,,,,,,,,
Phoenix Suns,93,100.5,-7.5,92.75,100.27,109.84,-9.57,0.459,0.53,0.492,0.565,1,3,47.79,100,115.25,1997-1998,POFF,4,,,,,,,,,,,,,,
Portland Trailblazers,99.75,104,-4.25,91.5,109.02,113.97,-4.96,0.489,0.531,0.542,0.573,1,3,52.68,112,120.25,1997-1998,POFF,4,,,,,,,,,,,,,,
San Antonio Spurs,91.78,88.56,3.22,86.55,104.82,100.5,4.32,0.489,0.453,0.536,0.492,4,5,52.9,103.22,97.33,1997-1998,POFF,9,,,,,,,,,,,,,,
Seattle SuperSonics,95.2,97.6,-2.4,85.6,111.22,114.02,-2.8,0.497,0.516,0.538,0.554,4,6,48.56,108.5,114.9,1997-1998,POFF,10,,,,,,,,,,,,,,
Utah Jazz,88.95,86.85,2.1,85.41,103.07,100.35,2.72,0.477,0.441,0.526,0.496,13,7,49.56,102.3,92.3,1997-1998,POFF,20,,,,,,,,,,,,,,
Portland Trailblazers,94.84,88.48,6.36,89.52,104.43,97.32,7.11,0.473,0.445,0.521,0.492,35,15,52.51,108.64,92.96,1998-1999,REG,50,,,,,,,,,,,,,,
Phoenix Suns,95.58,93.32,2.26,90.42,105.26,102.87,2.4,0.481,0.485,0.527,0.521,27,23,48.74,110.74,102.96,1998-1999,REG,50,,,,,,,,,,,,,,
Philadelphia 76ers,89.66,87.6,2.06,89.74,98.68,96.43,2.25,0.439,0.454,0.494,0.503,28,22,51.63,99.32,94.2,1998-1999,REG,50,,,,,,,,,,,,,,
Orlando Magic,89.46,86.86,2.6,88.63,100.52,97.49,3.03,0.456,0.473,0.498,0.506,33,17,51.37,99.04,96.86,1998-1999,REG,50,,,,,,,,,,,,,,
Seattle SuperSonics,94.86,95.94,-1.08,90.15,104.36,105.66,-1.3,0.481,0.489,0.519,0.527,25,25,50,102.98,108.12,1998-1999,REG,50,,,,,,,,,,,,,,
New York Knicks,86.4,85.38,1.02,86.92,98.59,97.31,1.28,0.463,0.434,0.509,0.488,27,23,50.23,96.12,90.6,1998-1999,REG,50,,,,,,,,,,,,,,
Charlotte Hornets,92.88,92.98,-0.1,90.57,101.29,101.66,-0.38,0.485,0.461,0.537,0.508,26,24,47.9,105.2,104.46,1998-1999,REG,50,,,,,,,,,,,,,,
