Team,Pts,Opp. Pts,3PTM,Opp. 3PTM,OReb,Opp. OReb,DReb,Opp. DReb,Ast,Opp. Ast,Stl,Opp. Stl,Blk,Opp. Blk,TO,Opp. TO,Foul,Opp. Foul,Season,Season Type,Match Count
Sacramento Kings,100.39,106.39,3.72,4.53,14.38,15.21,30.29,33.29,24.14,23.97,7.84,9.12,5.52,6.12,16.16,15.77,23.79,23.33,1997-1998,REG,82
San Antonio Spurs,103.85,98.86,4.13,4.6,13.47,13.85,36.11,30.45,25.17,21.19,7.06,9.94,7.77,5.15,17.32,13.49,23.69,25.12,1997-1998,REG,82
Seattle SuperSonics,111.64,103.78,8.41,5.65,12.61,15.46,30.13,31.36,26.89,24.73,10.89,8.67,5.09,5.46,15.08,17.73,24.53,24.72,1997-1998,REG,82
Toronto Raptors,100.58,110.62,4.81,5.13,15.34,16.45,27.78,32.46,22.57,28.74,9.94,9.55,8.57,6.66,17.21,17.12,23.93,22.64,1997-1998,REG,82
Utah Jazz,112.3,104.86,3.38,5.43,13.05,13.33,32.62,27.25,28.08,22.89,8.79,8.74,5.59,5.73,16.59,15.14,26.6,28.89,1997-1998,REG,82
Vancouver Grizzlies,103.54,111.43,4.25,5.6,14.13,14.98,30.23,30.82,25.61,27.47,8.02,10.93,4.56,7.04,17.7,14.47,23.64,23.95,1997-1998,REG,82
Washington Wizards,105.1,104.28,4.22,4.58,14.79,13.55,30.88,32.49,25.06,22.71,9.09,8.32,5,4.9,14.65,16.75,24.26,25.33,1997-1998,REG,82
Atlanta Hawks,104.17,101.78,8.04,4.14,13.1,9.47,34.52,32.25,20.24,26.33,9.23,8.28,5.66,3.25,14.58,14.79,27.98,25.15,1997-1998,POFF,4
Charlotte Hornets,98.55,106.11,4.23,5.98,10.85,14.34,32.14,34.93,25.27,23.77,7.67,9.56,3.31,5.31,15.34,13.81,25.66,25.1,1997-1998,POFF,9
Chicago Bulls,109.03,101.46,4.91,4.32,16.39,12.11,31.55,31.58,24.03,22.72,10.48,7.12,5.3,3.65,13.77,16.77,26.64,29.78,1997-1998,POFF,21
Cleveland Cavaliers,97.58,107.9,2.12,6.69,12.09,10.33,29.61,27.96,22.36,27.36,10.27,10.94,3.63,9.42,20.85,17.02,28.7,33.74,1997-1998,POFF,4
Houston Rockets,95.7,103.39,5.43,3.85,12.67,10.86,35.29,38.69,18.33,23.98,8.15,8.82,5.66,6.56,14.25,14.71,26.92,26.92,1997-1998,POFF,5
Indiana Pacers,107,103.99,6.34,4.65,10.79,14.6,30.32,31.16,22.3,22.15,8.38,10.09,5.76,4.21,16.11,16.78,28.94,30.5,1997-1998,POFF,16
Los Angeles Lakers,113.7,112.3,6.81,6.37,15.18,14.05,30.28,30.63,25.74,26.61,8.38,7.94,8.81,6.55,14.22,15.62,27.92,31.94,1997-1998,POFF,13
Miami Heat,101.63,103.7,8.37,5.32,9.54,12.96,33.26,35.42,19.07,21.99,7.91,9.72,4.42,1.62,15.12,15.74,29.54,30.56,1997-1998,POFF,5
Minnesota Timberwolves,104.16,110.6,8.55,7.37,15.7,13.13,29.79,34.1,26.79,26.5,8.55,9.68,4.16,4.38,15.01,14.75,26.1,25.81,1997-1998,POFF,5
New Jersey Nets,106.34,114.93,2.61,6.34,13.81,16.79,30.22,27.61,18.66,26.87,7.84,9.7,3.73,4.85,14.55,14.93,29.11,25.37,1997-1998,POFF,3
New York Knicks,100.91,103.18,6.04,7.05,11.96,9.89,33.26,32.5,21.41,19.66,9.8,8.52,2.28,4.66,17.08,15.23,30.52,24.89,1997-1998,POFF,10
Phoenix Suns,100.27,109.84,4.58,6.01,12.94,11.2,30.73,37.16,21.29,21.86,9.16,6.83,4.31,7.92,11.86,15.03,26.95,21.59,1997-1998,POFF,4
Portland Trailblazers,109.02,113.97,6.28,4.93,15.3,10.69,30.33,30.41,26.23,26.03,7.65,9.59,5.74,9.32,17.21,12.88,32.51,26.58,1997-1998,POFF,4
San Antonio Spurs,104.82,100.5,4.44,4.67,12.56,12.36,37.18,31.65,19.8,23.58,6.47,8.7,8,4.92,15.74,11.85,25.25,28.63,1997-1998,POFF,9
Seattle SuperSonics,111.22,114.02,7.71,9.11,14.84,16.94,30.49,31.08,25.7,28.62,10.16,8.06,5.02,7.24,14.14,15.42,27.45,25.82,1997-1998,POFF,10
Utah Jazz,103.07,100.35,3.82,4.74,11.24,14.15,34.88,32.64,25.84,19.53,7.53,8.72,5.62,6.36,15.76,14.62,30.13,27.73,1997-1998,POFF,20
Portland Trailblazers,104.43,97.32,5.42,4.84,14.23,13.55,34.57,30.53,23.63,21.16,9.05,9.04,6.39,5.37,16.38,16.61,24.8,25.12,1998-1999,REG,50
Phoenix Suns,105.26,102.87,5.75,6,13.17,13.54,31.23,33.2,27.51,23.46,9.78,9.04,4.41,4.52,14.38,17.17,22.51,23.48,1998-1999,REG,50
Philadelphia 76ers,98.68,96.43,2.16,5.31,16.05,13.63,31.43,30.87,20.56,22,11.93,9.58,5.97,5.79,17.19,18.85,25.36,26.09,1998-1999,REG,50
Orlando Magic,100.52,97.49,5.01,5.16,15.46,13.36,32.47,31.96,23.98,23.32,11.15,10.51,4.79,5.37,17.93,18.59,21.01,24.94,1998-1999,REG,50
Seattle SuperSonics,104.36,105.66,6.8,5.82,14.87,14.36,31.29,31.85,23.92,24.47,8.65,8.79,4.42,4.93,15.86,15.53,23.04,25.66,1998-1999,REG,50
New York Knicks,98.59,97.31,4.75,5.33,12.57,14.04,34.46,32.51,21.98,21.04,9.01,9.69,5.98,4.9,17.69,16.55,26.02,23.59,1998-1999,REG,50
Charlotte Hornets,101.29,101.66,5.85,4.64,10.47,14.32,32.56,32.6,24.21,23.88,9.66,9.69,5.39,5.07,16.58,15.92,24.01,25.17,1998-1999,REG,50
New Jersey Nets,98.6,102.83,4.86,4.82,15.43,13.49,31.01,34.17,19.92,20.92,10.6,8.54,5.89,7.05,15.32,16.86,24.47,23.43,1998-1999,REG,50
Minnesota Timberwolves,101.13,100.89,2.66,4.64,16.41,12.88,30.29,34.08,26.51,24.29,9.27,7.91,5.92,5.71,13.69,17.33,25.79,22.17,1998-1999,REG,50
Milwaukee Bucks,104.37,102.39,5.26,6.19,12.98,14.95,31.17,31.8,23.45,23.16,10.06,9.08,4.6,4.41,15.78,17.88,26,23.2,1998-1999,REG,50
Miami Heat,104.44,98.45,6.78,4.95,11.81,14.48,35.49,31.45,23.92,19.99,7.68,9.07,7.14,4.41,16.6,15.07,24.3,25.83,1998-1999,REG,50
Vancouver Grizzlies,98.12,107.52,3.27,5.05,14.36,14.8,30.01,32.11,21.27,26.22,9.28,10.81,4.4,7.23,17.82,16.67,24.8,25.69,1998-1999,REG,50
Los Angeles Lakers,107.52,104.06,5.24,4.71,13.4,13.62,32.19,30.42,23.78,23.01,8.45,8.85,6.23,4.25,16.1,14.85,26.74,27.56,1998-1999,REG,50
Los Angeles Clippers,99.56,109.16,4.72,4.89,14.65,14.09,28.49,33.14,18.07,24.23,9.34,9.22,5.2,6.36,16.74,16.81,26.94,22.93,1998-1999,REG,50
Indiana Pacers,107.52,103.27,6.68,4.68,13.04,14.22,32.99,32.39,22.83,21.7,7.18,8.11,5.07,5.41,13.84,14.15,24.58,25.6,1998-1999,REG,50
Houston Rockets,105.09,102.52,7.5,5.13,11.96,14.82,34.35,31.04,23.6,23.07,8.61,9.84,5.8,5.47,17.18,14.08,21.41,22.98,1998-1999,REG,50
Golden State Warriors,97.55,100.15,3.58,4.26,18.03,14.47,34.44,33.15,22.91,22.56,9.15,8.82,4.88,6.71,16.1,15.55,28.05,22.65,1998-1999,REG,50
Detroit Pistons,103.72,99.73,5.69,5.41,13.89,12.57,32.42,31.59,23.16,23.93,10.19,9.73,4.78,5.16,16.94,17.21,26.15,25.53,1998-1999,REG,50
Denver Nuggets,102.55,109.93,6.63,5.21,14.2,13.62,30.54,33,21.26,25.81,8.25,8.7,6.03,6.02,15.64,14.65,25.12,24.23,1998-1999,REG,50
Dallas Mavericks,102.03,104.72,4.5,4.81,14.37,14.7,32.92,33.84,20.51,23.9,7.84,8.04,6.5,5.44,14.5,14.77,23.72,23.21,1998-1999,REG,50
Cleveland Cavaliers,99.47,101.45,4.19,5.43,10.86,13.6,30.29,32.34,25.16,24.28,10.4,9.02,4.67,6.49,16.99,18.18,27.8,27.57,1998-1999,REG,50
Chicago Bulls,92.13,103,3.98,4.69,12.89,12.42,31.36,35.36,22.88,24.78,9.81,10.01,3.8,6.43,16.42,16.96,25.02,24.19,1998-1999,REG,50
Boston Celtics,99.72,102.18,5.86,3.77,14.58,13.83,31.27,33.26,23.01,21.93,9.72,9.93,5.47,5.45,16.66,17.04,25.58,21.56,1998-1999,REG,50
Atlanta Hawks,99.88,96.26,4.56,4.39,15.63,13.41,34.7,31.6,18.08,20.66,8.01,8.75,6.02,5.61,16.32,14.54,22.82,27.75,1998-1999,REG,50
Sacramento Kings,102.48,102.8,5.93,4.48,14.44,15.33,32.18,32.66,23.1,23.81,9.08,10.01,4.75,4.52,16.86,15.51,20.79,22.52,1998-1999,REG,50
San Antonio Spurs,103.85,94.56,3.85,3.79,13.74,15.53,35.45,31.4,24.64,21,9.42,9.75,7.86,5.42,16.05,15.51,22.61,25.62,1998-1999,REG,50
Toronto Raptors,101.27,103,5.02,5.66,15.82,13.63,32.16,30.93,23.02,24.31,9.76,9.9,7.13,5.73,17.04,16.32,25.31,24.16,1998-1999,REG,50
Utah Jazz,105.28,98.26,3.16,4.85,12.52,14.38,34.03,29.3,27.17,20.47,8.98,9.76,6.23,5.98,17.74,16.17,25.56,29.64,1998-1999,REG,50
Washington Wizards,100.89,103.34,3.96,4.82,13.16,13.65,31.04,33.56,23.54,23.87,8.7,8.89,4.27,4.69,15.66,16.59,25.47,24.04,1998-1999,REG,50
Portland Trailblazers,100.99,101.9,4.42,5.61,11.54,12.04,33.9,33.12,21.37,25.34,9.02,8.6,4.96,6.43,15.51,15.48,28.04,31.58,1998-1999,POFF,13
Phoenix Suns,101.1,112,7.66,4.36,11.31,8.36,24.82,35.64,24.45,25.82,11.31,9.82,2.56,6.18,14.96,18.91,31.75,24.36,1998-1999,POFF,3
Philadelphia 76ers,101.42,100.42,2.84,7.5,19.18,15.84,31.25,31.83,21.59,23.2,11.79,8.49,5.82,5.52,14.63,18.39,28.98,25.88,1998-1999,POFF,8
